Day,Date,Open,High,Low,Close,Adj Close,Volume
298, 9/3/2021  ,232.880005,235.380005,231.669998,233.779999,231.35231,33080500
299, 10/3/2021 ,237,237,232.039993,232.419998,230.006424,29746800
300, 11/3/2021 ,234.960007,239.169998,234.309998,237.130005,234.667526,29907600
301, 12/3/2021 ,234.009995,235.820007,233.229996,235.75,233.301849,22653700
302, 15/3/2021 ,234.960007,235.190002,231.809998,234.809998,232.371613,26034900
303, 16/3/2021 ,236.279999,240.059998,235.940002,237.710007,235.241501,28092200
304, 17/3/2021 ,236.149994,238.550003,233.229996,237.039993,234.57843,29562100
305, 18/3/2021 ,232.559998,234.190002,230.330002,230.720001,228.324081,34833000
306, 19/3/2021 ,231.020004,232.470001,229.350006,230.350006,227.957916,46430700
307, 22/3/2021 ,230.270004,236.899994,230.139999,235.990005,233.539368,30127000
308, 23/3/2021 ,237.490005,241.050003,237.070007,237.580002,235.112854,31638400
309, 24/3/2021 ,237.850006,238,235.320007,235.460007,233.014862,25620100
310, 25/3/2021 ,235.300003,236.940002,231.570007,232.339996,229.927261,34061900
311, 26/3/2021 ,231.550003,236.710007,231.550003,236.479996,234.024261,25479900
312, 29/3/2021 ,236.589996,236.800003,231.880005,235.240005,232.797134,25227500
313, 30/3/2021 ,233.529999,233.850006,231.100006,231.850006,229.442368,24792000
314, 31/3/2021 ,232.910004,239.100006,232.389999,235.770004,233.32164,43623500
315, 1/4/2021  ,238.470001,242.839996,238.050003,242.350006,239.833313,30338000
316, 5/4/2021  ,242.759995,249.960007,242.699997,249.070007,246.483536,36910600
317, 6/4/2021  ,247.610001,249.399994,246.880005,247.860001,245.286087,22931900
318, 7/4/2021  ,247.809998,250.929993,247.190002,249.899994,247.304901,22719800
319, 8/4/2021  ,252.770004,254.139999,252,253.25,250.620132,23625200
320, 9/4/2021  ,252.869995,255.990005,252.440002,255.850006,253.19313,24326800
321, 12/4/2021 ,254.710007,257.670013,254.619995,255.910004,253.252487,27148700
322, 13/4/2021 ,257.26001,259.190002,256.829987,258.48999,255.805679,23837500
323, 14/4/2021 ,257.480011,258.829987,255.160004,255.589996,252.935791,23070900
324, 15/4/2021 ,257.929993,259.929993,257.730011,259.5,256.805206,25627500
325, 16/4/2021 ,259.470001,261,257.600006,260.73999,258.032288,24878600
326, 19/4/2021 ,260.190002,261.480011,257.820007,258.73999,256.05307,23209300
327, 20/4/2021 ,257.820007,260.200012,256.839996,258.26001,255.578094,19722900
328, 21/4/2021 ,258.940002,260.679993,257.25,260.579987,257.873993,24030400
329, 22/4/2021 ,260.209991,261.779999,255.639999,257.170013,254.49939,25606200
330, 23/4/2021 ,257.880005,261.51001,257.269989,261.149994,258.438049,21462600
331, 26/4/2021 ,261.660004,262.440002,260.170013,261.549988,258.833893,19763300
332, 27/4/2021 ,261.579987,263.190002,260.119995,261.970001,259.249573,31014200
333, 28/4/2021 ,256.079987,256.540009,252.949997,254.559998,251.916519,46903100
334, 29/4/2021 ,255.460007,256.100006,249,252.509995,249.887802,40589000
335, 30/4/2021 ,249.740005,253.080002,249.600006,252.179993,249.561234,30945100
336, 3/5/2021  ,253.399994,254.350006,251.119995,251.860001,249.244553,19626600
337, 4/5/2021  ,250.970001,251.210007,245.759995,247.789993,245.216812,32756100
338, 5/5/2021  ,249.059998,249.5,245.820007,246.470001,243.910522,21901300
339, 6/5/2021  ,246.449997,249.860001,244.690002,249.729996,247.136673,26491100
340, 7/5/2021  ,252.149994,254.300003,251.169998,252.460007,249.838348,27032900
341, 10/5/2021 ,250.869995,251.729996,247.119995,247.179993,244.613144,29299900
342, 11/5/2021 ,244.550003,246.600006,242.570007,246.229996,243.673004,33641600
343, 12/5/2021 ,242.169998,244.380005,238.070007,239,236.518097,36684400
344, 13/5/2021 ,241.800003,245.600006,241.419998,243.029999,240.506241,29624300
345, 14/5/2021 ,245.580002,249.179993,245.490005,248.149994,245.573074,23901100
346, 17/5/2021 ,246.550003,246.589996,243.520004,245.179993,242.633896,24970200
347, 18/5/2021 ,246.270004,246.410004,242.899994,243.080002,240.555725,20168000
348, 19/5/2021 ,239.309998,243.229996,238.600006,243.119995,241.150864,25739800
349, 20/5/2021 ,243.960007,247.949997,243.860001,246.479996,244.483658,21800700
350, 21/5/2021 ,247.570007,248.330002,244.740005,245.169998,243.18428,21863100
351, 24/5/2021 ,247.789993,251.160004,247.509995,250.779999,248.748825,21411500
352, 25/5/2021 ,251.770004,252.75,250.820007,251.720001,249.681229,17704300
353, 26/5/2021 ,251.429993,252.940002,250.75,251.490005,249.453094,17771600
354, 27/5/2021 ,251.169998,251.479996,249.25,249.309998,247.290741,24426200
355, 28/5/2021 ,251,252.080002,249.559998,249.679993,247.65773,18270200
356, 1/6/2021  ,251.229996,251.289993,246.960007,247.399994,245.396194,23213300
357, 2/6/2021  ,248.130005,249.270004,245.839996,247.300003,245.297012,19406700
358, 3/6/2021  ,245.220001,246.339996,243,245.710007,243.71991,25307700
359, 4/6/2021  ,247.759995,251.649994,247.509995,250.789993,248.758743,25281100
360, 7/6/2021  ,249.979996,254.089996,249.809998,253.809998,251.754288,23079200
361, 8/6/2021  ,255.160004,256.01001,252.509995,252.570007,250.524338,22455000
362, 9/6/2021  ,253.809998,255.529999,253.210007,253.589996,251.536057,17937600
363, 10/6/2021 ,254.289993,257.459991,253.669998,257.23999,255.156509,24563600
364, 11/6/2021 ,257.98999,258.48999,256.609985,257.890015,255.80127,18999700
365, 14/6/2021 ,257.899994,259.950012,256.799988,259.890015,257.785065,19150500
366, 15/6/2021 ,259.769989,259.98999,257.679993,258.359985,256.267426,18038900
367, 16/6/2021 ,259.399994,260.579987,254.419998,257.380005,255.295349,27220000
368, 17/6/2021 ,256.070007,261.75,256.01001,260.899994,258.786835,27565500
369, 18/6/2021 ,259.630005,262.299988,258.75,259.429993,257.328766,37202200
370, 21/6/2021 ,259.820007,263.519989,257.920013,262.630005,260.502838,26696100
371, 22/6/2021 ,262.720001,265.790009,262.399994,265.51001,263.359528,24694100
372, 23/6/2021 ,265.98999,266.829987,264.429993,265.269989,263.12146,19518700
373, 24/6/2021 ,266.160004,267.850006,265.470001,266.690002,264.529999,21446900
374, 25/6/2021 ,266.230011,267.25,264.76001,265.019989,262.873505,25611100
375, 28/6/2021 ,266.190002,268.899994,265.910004,268.720001,266.543518,19590000
376, 29/6/2021 ,268.869995,271.649994,267.980011,271.399994,269.201813,19937800
377, 30/6/2021 ,270.690002,271.359985,269.600006,270.899994,268.705872,21656500
378, 1/7/2021  ,269.609985,271.839996,269.600006,271.600006,269.400238,16725300
379, 2/7/2021  ,272.820007,278,272.5,277.649994,275.401215,26458000
380, 6/7/2021  ,278.029999,279.369995,274.299988,277.660004,275.411102,31565600
381, 7/7/2021  ,279.399994,280.690002,277.149994,279.929993,277.662689,23260000
382, 8/7/2021  ,276.899994,278.730011,274.869995,277.420013,275.173065,24618600
383, 9/7/2021  ,275.720001,278.049988,275.320007,277.940002,275.688873,23916700
384, 12/7/2021 ,279.160004,279.769989,276.579987,277.320007,275.073883,18931700
385, 13/7/2021 ,277.519989,282.850006,277.390015,280.980011,278.704224,26120100
386, 14/7/2021 ,282.350006,283.660004,280.549988,282.51001,280.221832,23113700
387, 15/7/2021 ,282,282.51001,279.829987,281.029999,278.753845,22604200
388, 16/7/2021 ,282.070007,284.100006,279.459991,280.75,278.476105,26186800
389, 19/7/2021 ,278.929993,280.369995,274.450012,277.01001,274.766388,32935600
390, 20/7/2021 ,278.029999,280.970001,276.26001,279.320007,277.057678,26259700
391, 21/7/2021 ,278.899994,281.519989,277.290009,281.399994,279.12085,24364300
392, 22/7/2021 ,283.839996,286.420013,283.420013,286.140015,283.822449,23384100
393, 23/7/2021 ,287.369995,289.98999,286.5,289.670013,287.323853,22768100
394, 26/7/2021 ,289,289.690002,286.640015,289.049988,286.708862,23176100
395, 27/7/2021 ,289.429993,289.579987,282.950012,286.540009,284.219208,33604100
396, 28/7/2021 ,288.98999,290.149994,283.829987,286.220001,283.901764,33566900
397, 29/7/2021 ,286.23999,288.619995,286.079987,286.5,284.179535,18168300
398, 30/7/2021 ,285.170013,286.660004,283.910004,284.910004,282.602386,20944800
399, 2/8/2021  ,286.359985,286.769989,283.73999,284.820007,282.513153,16267400
400, 3/8/2021  ,285.420013,287.230011,284,287.119995,284.794495,17879000
401, 4/8/2021  ,286.220001,287.589996,284.649994,286.51001,284.189453,16191300
402, 5/8/2021  ,286.880005,289.630005,286.100006,289.519989,287.175049,13900200
403, 6/8/2021  ,288.51001,289.5,287.619995,289.459991,287.11554,16589300
404, 9/8/2021  ,289.75,291.549988,287.809998,288.329987,285.99472,16117600
405, 10/8/2021 ,288.799988,289.25,285.200012,286.440002,284.119995,18616600
406, 11/8/2021 ,287.209991,288.660004,285.859985,286.950012,284.625916,13955900
407, 12/8/2021 ,286.630005,289.970001,286.339996,289.809998,287.462708,14561300
408, 13/8/2021 ,289.480011,292.899994,289.299988,292.850006,290.478088,18249000
409, 16/8/2021 ,293.190002,294.820007,290.019989,294.600006,292.213928,22507600
410, 17/8/2021 ,292.390015,293.429993,291.079987,293.079987,290.706207,20075300
411, 18/8/2021 ,292.040009,294.820007,290.269989,290.730011,288.927338,21813000
412, 19/8/2021 ,288.690002,297.470001,288.640015,296.769989,294.929871,29850500
413, 20/8/2021 ,299.720001,305.839996,298.059998,304.359985,302.472809,40817600
414, 23/8/2021 ,303.25,305.399994,301.850006,304.649994,302.761017,22830200
415, 24/8/2021 ,305.019989,305.649994,302,302.619995,300.743591,18175800
416, 25/8/2021 ,304.299988,304.589996,300.420013,302.01001,300.137421,20006100
417, 26/8/2021 ,300.98999,302.429993,298.950012,299.089996,297.235504,17666100
418, 27/8/2021 ,298.98999,300.869995,296.829987,299.720001,297.861572,22605700
419, 30/8/2021 ,301.119995,304.220001,301.059998,303.589996,301.707611,16348100
420, 31/8/2021 ,304.420013,304.5,301.5,301.880005,300.008209,26285300
421, 1/9/2021  ,302.869995,305.190002,301.48999,301.829987,299.958496,18983800
422, 2/9/2021  ,302.200012,303.359985,300.179993,301.149994,299.282715,16285600
423, 3/9/2021  ,300.98999,302.600006,300.26001,301.140015,299.272797,14747900
424, 7/9/2021  ,301.01001,301.089996,298.200012,300.179993,298.318726,17180400
425, 8/9/2021  ,299.779999,300.609985,297.470001,300.209991,298.348511,15046800
426, 9/9/2021  ,300.820007,302.140015,297,297.25,295.406891,19927000
427, 10/9/2021 ,298.420013,299.920013,295.380005,295.709991,293.876404,19633400
428, 13/9/2021 ,297.549988,298.540009,294.079987,296.98999,295.148499,23652900
429, 14/9/2021 ,299.559998,301.390015,298.100006,299.790009,297.931152,21853400
430, 15/9/2021 ,303.26001,305.320007,301.820007,304.820007,302.929993,28356300
431, 16/9/2021 ,303.76001,305.309998,300.76001,305.220001,303.327484,19550800
432, 17/9/2021 ,304.170013,304.5,299.529999,299.869995,298.01062,41372500
433, 20/9/2021 ,296.329987,298.720001,289.519989,294.299988,292.475159,38278700
434, 21/9/2021 ,295.690002,297.540009,294.070007,294.799988,292.972076,22364100
435, 22/9/2021 ,296.730011,300.220001,294.51001,298.579987,296.728607,26626300
436, 23/9/2021 ,298.850006,300.899994,297.529999,299.559998,297.702576,18604600
437, 24/9/2021 ,298.230011,299.799988,296.929993,299.350006,297.493866,14999000
438, 27/9/2021 ,296.140015,296.470001,292.940002,294.170013,292.346008,23571700
439, 28/9/2021 ,289.799988,290.779999,282.75,283.519989,281.762054,43186200
440, 29/9/2021 ,285.100006,286.769989,283.01001,284,282.239044,26353700
441, 30/9/2021 ,285.709991,287.829987,281.619995,281.920013,280.171967,32343600
442, 1/10/2021 ,282.119995,289.980011,281.290009,289.100006,287.307434,30086300
443, 4/10/2021 ,287.399994,287.75,280.25,283.109985,281.354553,31350700
444, 5/10/2021 ,284.049988,290.399994,284.049988,288.76001,286.969513,24993000
445, 6/10/2021 ,285.779999,293.630005,285.51001,293.109985,291.292542,28002600
446, 7/10/2021 ,295.179993,296.640015,293.920013,294.850006,293.02182,20430500
447, 8/10/2021 ,296.220001,296.640015,293.76001,294.850006,293.02182,17685700
448, 11/10/2021,292.920013,297.970001,292.75,294.230011,292.40564,19298600
449, 12/10/2021,295.339996,295.440002,292.350006,292.880005,291.063995,17974100
450, 13/10/2021,294.910004,297.279999,293.48999,296.309998,294.472748,23416300
451, 14/10/2021,299.209991,303.269989,297.829987,302.75,300.872772,27262900
452, 15/10/2021,302.339996,304.450012,300.519989,304.209991,302.32373,25384800
453, 18/10/2021,303.570007,308.209991,302.690002,307.290009,305.384644,22729300
454, 19/10/2021,308.350006,309.299988,307.220001,308.230011,306.318817,17682100
455, 20/10/2021,309.209991,309.700012,306.109985,307.410004,305.503876,16537100
456, 21/10/2021,307.170013,311.019989,306.359985,310.76001,308.83316,16918100
457, 22/10/2021,310.399994,311.089996,307.799988,309.160004,307.243042,17449300
458, 25/10/2021,309.359985,309.399994,306.459991,308.130005,306.219452,17554500
459, 26/10/2021,311,312.399994,308.600006,310.109985,308.187134,28107300
460, 27/10/2021,316,326.100006,316,323.170013,321.166199,52588700
461, 28/10/2021,324.329987,324.869995,321.359985,324.350006,322.338867,26297900
462, 29/10/2021,324.130005,332,323.899994,331.619995,329.563782,34766000
463, 1/11/2021 ,331.359985,331.48999,326.369995,329.369995,327.327759,27073200
464, 2/11/2021 ,330.309998,333.450012,330,333.130005,331.064423,26487100
465, 3/11/2021 ,333.899994,334.899994,330.649994,334,331.929047,21500100
466, 4/11/2021 ,332.890015,336.540009,329.51001,336.440002,334.353912,23992200
467, 5/11/2021 ,338.51001,338.790009,334.420013,336.059998,333.976227,22570100
468, 8/11/2021 ,337.299988,337.649994,334.440002,336.98999,334.900482,20897000
469, 9/11/2021 ,337.109985,338.720001,334.529999,335.950012,333.866974,21307400
470, 10/11/2021,334.570007,334.630005,329.920013,330.799988,328.748871,25500900
471, 11/11/2021,331.25,333.769989,330.51001,332.429993,330.368774,16849800
472, 12/11/2021,333.920013,337.230011,333.790009,336.720001,334.632172,23831000
473, 15/11/2021,337.540009,337.880005,334.029999,336.070007,333.986237,16723000
474, 16/11/2021,335.679993,340.670013,335.51001,339.51001,337.404877,20886800
475, 17/11/2021,338.940002,342.190002,338,339.119995,337.63385,19053400
476, 18/11/2021,338.179993,342.450012,337.119995,341.269989,339.774414,22463500
477, 19/11/2021,342.640015,345.100006,342.200012,343.109985,341.606384,21963400
478, 22/11/2021,344.619995,349.670013,339.549988,339.829987,338.340729,31031100
479, 23/11/2021,337.049988,339.450012,333.559998,337.679993,336.200165,30427600
480, 24/11/2021,336.279999,338.160004,333.910004,337.910004,336.429169,21661300
