Date,Property_Type,Project_Name,Unit_Price,Area
Oct-21,Terrace House,LANDED HOUSING DEVELOPMENT,1279.00,3089.27
Nov-21,Detached House,LANDED HOUSING DEVELOPMENT,1269.00,5948.19
Nov-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1536.00,3312.08
Nov-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1123.00,3294.86
Nov-21,Terrace House,LANDED HOUSING DEVELOPMENT,2108.00,2325.02
Nov-21,Terrace House,LANDED HOUSING DEVELOPMENT,1999.00,2361.62
Nov-21,Terrace House,LANDED HOUSING DEVELOPMENT,1922.00,1716.86
Nov-21,Terrace House,SIN CHUAN GARDEN,1708.00,1932.14
Nov-21,Terrace House,MALAYSIA PARK,1488.00,3427.26
Nov-21,Terrace House,MALAYSIA PARK,1528.00,3927.78
Nov-21,Terrace House,LANDED HOUSING DEVELOPMENT,1110.00,3152.78
Dec-21,Semi-Detached House,KEMBANGAN ESTATE,1101.00,3906.26
Dec-21,Terrace House,LANDED HOUSING DEVELOPMENT,1968.00,1615.68
Dec-21,Terrace House,LANDED HOUSING DEVELOPMENT,2060.00,1572.62
Dec-21,Terrace House,LANDED HOUSING DEVELOPMENT,1906.00,1626.44
Dec-21,Terrace House,LANDED HOUSING DEVELOPMENT,1857.00,1615.68
Dec-21,Terrace House,LANDED HOUSING DEVELOPMENT,1587.00,2236.76
Jan-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1168.00,3552.12
Jan-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1057.00,3596.25
Jan-22,Semi-Detached House,KEMBANGAN ESTATE,1131.00,3872.89
Jan-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1266.00,4343.27
Jan-22,Terrace House,LANDED HOUSING DEVELOPMENT,1338.00,2054.85
Feb-22,Terrace House,GEYLANG CONSERVATION AREA,2088.00,1436.99
Mar-22,Detached House,LANDED HOUSING DEVELOPMENT,1167.00,5999.85
Mar-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1845.00,2162.49
Mar-22,Semi-Detached House,KEMBANGAN ESTATE,1210.00,3720.04
Mar-22,Semi-Detached House,KEMBANGAN ESTATE,1206.00,3763.09
Mar-22,Terrace House,SIN CHUAN GARDEN,1846.00,1874.01
Apr-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1283.00,3755.56
Apr-22,Semi-Detached House,KEMBANGAN ESTATE,1090.00,5137.66
Apr-22,Semi-Detached House,KEMBANGAN ESTATE,1709.00,2153.88
Apr-22,Semi-Detached House,KEMBANGAN ESTATE,1428.00,3894.42
Apr-22,Terrace House,KEMBANGAN ESTATE,1688.00,2250.75
Apr-22,Terrace House,LANDED HOUSING DEVELOPMENT,1987.00,1711.48
Apr-22,Terrace House,LANDED HOUSING DEVELOPMENT,1744.00,2247.52
Apr-22,Terrace House,LANDED HOUSING DEVELOPMENT,1306.00,3361.60
Apr-22,Terrace House,SIN CHUAN GARDEN,1756.00,1879.39
May-22,Detached House,LANDED HOUSING DEVELOPMENT,1191.00,7120.39
May-22,Semi-Detached House,KEMBANGAN ESTATE,1786.00,3192.60
May-22,Terrace House,LANDED HOUSING DEVELOPMENT,2553.00,1488.66
May-22,Terrace House,KEMBANGAN ESTATE,2259.00,1571.54
May-22,Terrace House,LANDED HOUSING DEVELOPMENT,1774.00,1623.21
Jun-22,Semi-Detached House,KEMBANGAN ESTATE,1470.00,3006.39
Jun-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1137.00,4441.23
Jun-22,Terrace House,KEMBANGAN ESTATE,1063.00,3951.46
Jun-22,Terrace House,LANDED HOUSING DEVELOPMENT,2383.00,1615.68
Jun-22,Terrace House,LANDED HOUSING DEVELOPMENT,2367.00,1626.44
Jun-22,Terrace House,MALAYSIA PARK,1576.00,2030.09
Jul-22,Terrace House,KEMBANGAN ESTATE,1524.00,3018.23
Jul-22,Terrace House,LANDED HOUSING DEVELOPMENT,2025.00,2123.74
Aug-22,Detached House,KEMBANGAN ESTATE,1200.00,6501.46
Aug-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1560.00,4038.65
Aug-22,Terrace House,KIMNAN PARK,1224.00,3532.74
Aug-22,Terrace House,KEMBANGAN ESTATE,1817.00,1541.40
Aug-22,Terrace House,YONG SENG ESTATE,1703.00,1889.08
Sep-22,Semi-Detached House,KEMBANGAN ESTATE,2114.00,2544.61
Sep-22,Semi-Detached House,KIMNAN PARK,1469.00,3369.13
Sep-22,Terrace House,LANDED HOUSING DEVELOPMENT,2548.00,1659.81
Sep-22,Terrace House,LANDED HOUSING DEVELOPMENT,2063.00,1696.41
Sep-22,Terrace House,KEMBANGAN ESTATE,2323.00,1824.50
Sep-22,Terrace House,LANDED HOUSING DEVELOPMENT,1157.00,3758.79
Sep-22,Terrace House,KEMBANGAN ESTATE,1719.00,3187.22
Sep-22,Terrace House,YONG SENG ESTATE,1904.00,1891.23
Sep-22,Terrace House,LANDED HOUSING DEVELOPMENT,1684.00,2019.33
Oct-22,Terrace House,MALAYSIA PARK,1628.00,2039.78
Oct-22,Terrace House,KEMBANGAN ESTATE,1884.00,2388.53
Oct-22,Terrace House,LANDED HOUSING DEVELOPMENT,2074.00,2506.94
Oct-22,Terrace House,LANDED HOUSING DEVELOPMENT,2232.00,6272.18
Oct-22,Terrace House,LANDED HOUSING DEVELOPMENT,1344.00,3979.45
Nov-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1162.00,3614.55
Nov-22,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1860.00,2365.93
Nov-22,Terrace House,LANDED HOUSING DEVELOPMENT,2393.00,1353.03
Nov-22,Terrace House,KEMBANGAN ESTATE,2013.00,1713.63
Nov-22,Terrace House,KIMNAN PARK,1783.00,1850.33
Dec-22,Detached House,LANDED HOUSING DEVELOPMENT,1857.00,4307.75
Dec-22,Semi-Detached House,KEMBANGAN ESTATE,1659.00,2320.72
Dec-22,Terrace House,LANDED HOUSING DEVELOPMENT,983.00,6217.29
Dec-22,Terrace House,SIN CHUAN GARDEN,2157.00,1877.24
Jan-23,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1588.00,2455.27
Feb-23,Detached House,LANDED HOUSING DEVELOPMENT,1600.00,4999.88
Feb-23,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1025.00,4391.71
Feb-23,Terrace House,KEMBANGAN ESTATE,2018.00,1863.25
Mar-23,Detached House,FRANKEL ESTATE,1548.00,7621.99
Mar-23,Terrace House,SARINA TERRACE,2055.00,1810.50
Mar-23,Terrace House,LANDED HOUSING DEVELOPMENT,1829.00,2269.05
Mar-23,Terrace House,LANDED HOUSING DEVELOPMENT,1648.00,2365.93
Mar-23,Terrace House,KEMBANGAN ESTATE,2277.00,1712.55
Apr-23,Detached House,LANDED HOUSING DEVELOPMENT,1312.00,3863.20
Apr-23,Semi-Detached House,LANDED HOUSING DEVELOPMENT,2125.00,3294.86
Apr-23,Terrace House,LANDED HOUSING DEVELOPMENT,2100.00,1485.43
Apr-23,Terrace House,LANDED HOUSING DEVELOPMENT,1637.00,2932.11
Apr-23,Terrace House,KIMNAN PARK,1758.00,1848.18
Apr-23,Terrace House,KEMBANGAN ESTATE,2119.00,2264.75
May-23,Terrace House,KIMNAN PARK,1418.00,2751.28
